id,genre,track_name,artist_name,valence,energy
5pgW3hUOrf7LoAv1iW0q4n,acoustic,"Cosmic Love - MTV Unplugged, 2012",Florence + The Machine,0.208,0.682
1u3PLSZ2YkkUBuapHKz29w,acoustic,Best Thing I Never Had (made famous by Beyoncé),Megan & Liz,0.382,0.11
0kH34dqX33tTq0ZEyoBFIm,acoustic,Fever To The Form,Nick Mulvey,0.237,0.566
0FwkLxm84A5P3YNlZzfM0J,acoustic,One Love,Justin Bieber,0.206,0.622
1NdgDGYG4J827IvfeDgF4o,acoustic,Dear Mr. President,Various Artists,0.297,0.299
341863z079BT4EFPiSw9DP,acoustic,The Call,Regina Spektor,0.302,0.101
4z1O25cq9g2kuJemmUxc21,acoustic,Small Bump,Ed Sheeran,0.446,0.436
1PUh1GENlvlgu0dW28I6tY,acoustic,"Hello, I'm In Delaware",City and Colour,0.388,0.458
5SdG78xwNRsjXmFGhm9Z8D,acoustic,Om du letar efter nån,Melissa Horn,0.658,0.284
7jPumBvn7m7l3nolkML3cZ,acoustic,Love The Way You Lie - Part III (Original Demo),Skylar Grey,0.232,0.248
0VRWmkhxjjERPMMbZEOcDo,acoustic,Send Me on My Way,Various Artists,0.768,0.682
7f1722l0jzzDTwDD6PfvDh,acoustic,Drops Of Jupiter,Boyce Avenue,0.367,0.381
3RgR3cFZ6xh7MlB9DURK6e,acoustic,Shadow Days,John Mayer,0.254,0.559
72a5shaNG0QgLQLhiyI18X,acoustic,California King Bed (made famous by Rihanna),Megan & Liz,0.204,0.401
384ft9nYgu5fpnbeSMXkMo,acoustic,I'm Yours - From the Casa Nova Sessions,Jason Mraz,0.517,0.208
14rApQTKycs9gNg7hjm9m7,acoustic,White Blank Page,Mumford & Sons,0.299,0.398
4cNjkFy1U24mrlbdHcc2Vq,acoustic,Waterfalls,ortoPilot,0.837,0.532
0O36Yqb2aFcThBphczYoAY,acoustic,A Drop In The Ocean,Ron Pope,0.473,0.452
4JKHACLkotsxdKNF9vJYOS,acoustic,Nothing Arrived - Live from Spotify London,Villagers,0.42,0.415
5mMV6EaKeZWkGFvE1xg13n,acoustic,Towers,Bon Iver,0.145,0.321
72MXQsTad1er96t2mgVM01,acoustic,Walking On A Dream,Alex Cornell,0.235,0.272
3SktMqZmo3M9zbB7oKMIF7,acoustic,Gravity,John Mayer,0.237,0.326
2APaWLyP3drx0CIodMhKHd,acoustic,Hey Ya!,The Blanks,0.293,0.262
6cOve1ZkbX5aUPtBLBPu7F,acoustic,Don't You Worry Child,Beth,0.432,0.18
53Pgsvu3qSYO2aXt5J2vcL,acoustic,Lego House,Ed Sheeran,0.565,0.637
5Gtn8HgCAo0TUiaKKgP6us,acoustic,Down in the Valley,The Head And The Heart,0.149,0.403
2izoqbHZCGaoFOO8vcc1hK,acoustic,Boyfriend,Alex G,0.741,0.737
2Xt2ir0hgXtcfFlAx4rdu9,acoustic,Scene One - James Dean & Audrey Hepburn,Sleeping With Sirens,0.569,0.579
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,0.168,0.44
5GCgC77m6EaAqu7ZlukMu2,acoustic,Umbrella,Train,0.627,0.849
5bSPF76iSpI5p00BALV8uo,acoustic,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.407,0.38
2voFmcVmg8HJIjKtVrdXjj,acoustic,Say Something (feat. Carly Rose Sonenclar),Boyce Avenue,0.0948,0.127
5GASbHpWg9D5ymGu4WeBuo,acoustic,Use Somebody,Tyler Ward,0.163,0.414
1CbPLR6Xjo2nc0Pf13N0RS,acoustic,Pink Moon,Nick Drake,0.446,0.255
3aKJVWH2QOsaMtiCLxYHZX,acoustic,Lake Of Fire,Nirvana,0.683,0.616
49kjlZP49LMD1MrrcvXDET,acoustic,For the First Time,The Script,0.381,0.633
2ZQyksYO4zzhyHNcueL0CP,acoustic,Home,Phillip Phillips,0.293,0.792
3P6p25MvU3qnvWa8L7i5Lr,acoustic,The Lion's Roar,First Aid Kit,0.199,0.532
2Oehrcv4Kov0SuIgWyQY9e,acoustic,Demons,Imagine Dragons,0.416,0.71
08kTO4EW0jb07zNsCNM83w,acoustic,Chariot,Gavin DeGraw,0.344,0.779
4M90HjffovjuEZS0LdlIks,afrobeat,Icole,Oliver N'Goma,0.924,0.712
2pfHT1jlF2OaRaKYNjRfqs,afrobeat,Aluguntugui,Various Artists,0.78,0.837
71uMowNE0zT9M0FI8MoGBm,afrobeat,Fanta bourama,Various Artists,0.651,0.657
6C6xlP5zYRhYSNI5ORl6Wd,afrobeat,Don't Dull,Wizkid,0.925,0.799
1fHoodkfZi9gwlf1sN6ID2,afrobeat,"C'est bon, c'est bon",Salif Keita,0.898,0.918
1PlLwvh1N9GPTuFT16JBez,afrobeat,Kukere (Master),Iyanya,0.961,0.855
5VAZqFBgO2KNRw6KXA7xMj,afrobeat,Weeping,Vusi Mahlasela,0.512,0.619
5ipni5g3JBMmFwWcUvIfFR,afrobeat,Barra,Habib Koité,0.969,0.522
1D7QWJ0nQ4OrLHnEJEYOhC,afrobeat,4-4-44,Youssou N'Dour,0.468,0.77
1Ogg5nXrqc4AeMf1ryq0uL,afrobeat,C'est Pas Facile Pour Les Aigles - feat. Ebony Bones,Amadou & Mariam,0.821,0.855
3HSC3C87HV2H2L7VXG0P3S,afrobeat,Beto,Ali Farka Touré,0.466,0.518
64NibWSxMCKaxurg4OW5Dd,afrobeat,Jombolo,Iyanya,0.663,0.871
0iF9eGx9US66wEA1LpKuPl,afrobeat,Sigi Kuruni,Oumou Sangaré,0.967,0.52
7j05qZv5fZc4drPs8lFHkc,afrobeat,This Little Light Of Mine / M'Lilo Vutha Mathanjeni / If You Ever Need The Lord,Soweto Gospel Choir,0.664,0.787
52sqUHimT5hjxbkE7DUfJQ,afrobeat,Makambo,Geoffrey Oryema,0.276,0.136
00pbW1N78AUv5s1jIQ13kN,afrobeat,Hommage a Tonton Ferrer,Orchestra Baobab,0.743,0.481
4BqMk02gtRlgUTJI4AsIUM,afrobeat,Ikwokrikwo,Flavour,0.948,0.895
0JRBZ5RZGLhZKUoDIgaxQc,afrobeat,Amidinine,Bombino,0.699,0.862
2KO00cY85Xc87Ix7yeCCtl,afrobeat,Ledi Coumbe,Ali Farka Touré,0.755,0.449
0KCwzRvFRkHnttIa7QYoY2,afrobeat,La Puissance,Magic System,0.476,0.8
5B0DtR1BiFKtj2NYS08QvM,afrobeat,Sijuade,King Sunny Ade,0.961,0.715
4bi73jCM02fMpkI11Lqmfe,afrobeat,Ai Se Eu Te Pego - Live,Michel Teló,0.834,0.937
67eoj6NRe1VkDxGzslONM2,afrobeat,Je pense à toi,Amadou & Mariam,0.855,0.423
25eUxaEwozlf7Ptfl7eOBm,afrobeat,Kon'ko Man,Madala Kunene,0.602,0.847
5ft8cAiZ0zvICdvry3Byc0,afrobeat,Olufunmi,Styl-Plus,0.749,0.676
00sQAR9xuGbRM7XjWmjZKF,afrobeat,Baai,Blood Diamond,0.968,0.754
1Hf7m2mEoB8kmrpJV4eaB7,afrobeat,Mariama Kaba,Various Artists,0.362,0.182
3oJOtvPbyOqRPlFvspQP3o,afrobeat,Djuru,Amadou & Mariam,0.697,0.798
4ww7h5dDP2HLNEGeKUNKpd,afrobeat,Soundway,Various Artists,0.805,0.894
7bX1buX1LfDCRXrEp403nh,afrobeat,Igbe,Fela Kuti,0.722,0.775
4SfxzVkGFzgW0U83Y8brVk,afrobeat,Yala,Oumou Sangaré,0.912,0.891
0TfE6aoAzMlmztc3XnDXqN,afrobeat,N'gotolén,Rokia Traoré,0.491,0.57
2K15Edv21Uw9Cv5tBh8s9O,afrobeat,Bozos,Amadou & Mariam,0.935,0.774
0bjezk40HOayXIka1MlwDF,afrobeat,Balance,Sara Tavares,0.761,0.737
0zhM3UpJc3Sj8ll8Wy12TC,afrobeat,Seyni,Cheikh Lô,0.921,0.387
